track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
Wild Things,Alessia Cara,spotify:track:2ZyuwVvV6Z3XJaXIFbspeE,0.741,0.626,1,-4.826,,0.886,0.2,,0.828,0.76,18.29,188493,4,41.18681,1,1
Surfboard,Esquivel!,spotify:track:61APOtq25SCMuKV5w2Kgp,0.447,0.247,5,-14.661,,0.346,0.871,0.814,0.946,0.25,155.489,17688,3,33.1883,9,
Love Someone,Lukas Graham,spotify:track:2JqnpexlO9dmvjUMCaLCLJ,0.55,0.415,9,-6.557,,0.52,0.161,,0.18,0.274,172.65,25463,4,44.89147,9,1
Music To My Ears (feat. Tory Lanez),Keys N Krates,spotify:track:cjfLhk8WJ3etPTCseKXtk,0.52,0.648,,-5.698,,0.527,0.513,,0.24,0.291,91.837,19343,4,29.52521,7,
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,spotify:track:1lItf5ZXJc1by9SbPeljFd,0.87,0.887,1,-3.892,1,0.275,0.381,,0.391,0.78,16.517,144244,4,24.99199,8,1
Here's To Never Growing Up,Avril Lavigne,spotify:track:qwcGscxUHGZTgqzcaqk1,0.482,0.873,,-3.145,1,0.853,0.111,,0.49,0.737,165.84,21432,4,32.1731,12,1
Sex Metal Barbie,In This Moment,spotify:track:75BGF4LC7AOLFfxn6ukZDH,0.533,0.935,,-3.74,1,0.128,0.139,,0.168,0.481,14.92,262493,4,21.451,14,
Helluva Night,Ludacris,spotify:track:flKDWZq11997Fb2ptkQvu,0.736,0.522,2,-8.2,1,0.116,0.299,,0.18,0.369,97.547,2387,4,6.2127,1,1
Holiday With HH,No Bros,spotify:track:7LBaKNFR8IY3g7LOfXqu8,0.166,0.985,7,-2.886,1,0.17,0.183,0.142,0.958,0.139,174.725,252787,4,31.23583,11,
My Last,Big Sean Featuring Chris Brown,spotify:track:7tFuqBcduJv15bEnOPRTh,0.387,0.773,8,-5.685,1,0.17,0.98,,0.29,0.368,78.629,25412,4,23.3245,9,1
Break Up In The End,Cole Swindell,spotify:track:5Z19ylxppfnfdP4JHu8oj,0.57,0.372,1,-8.433,1,0.33,0.481,,0.271,0.257,86.422,199693,4,36.66287,1,1
Cirrus,Bonobo,spotify:track:2lJ4d8MCT6ZlDRHKJ1br14,0.64,0.844,2,-8.412,,0.374,0.395,0.933,0.827,0.364,119.42,352247,4,8.6317,13,
"Theme From ""Bus Stop""",Jackie Gleason,spotify:track:5Jd78KUwqhZcY5msCpsDLw,0.245,0.935,5,-19.343,1,0.373,0.748,0.254,0.963,0.17,124.385,222787,4,2.536,12,
Crawling Back To You,Daughtry,spotify:track:6BDtTzjbJ5kKKSWcJT8MlX,0.438,0.919,,-2.91,,0.495,0.674,,0.158,0.195,151.26,225813,4,34.1444,8,1
Maze of Martyr (Official Dominator 217 anthem) - Radio Edit,Dj Mad Dog,spotify:track:1hW21b9IQeETvRqMwnn2F7,0.32,0.99,1,-2.454,1,0.344,0.92,0.32,0.17,0.424,178.17,232541,4,41.48721,14,
Hotline Bling,Drake,spotify:track:wwPcA6wtMf6HUMpIRdeP7,0.891,0.625,2,-7.861,1,0.558,0.261,0.176,0.54,0.548,134.967,26767,4,69.38968,8,1
Cut Her Off,KCamp Featuring 2 Chainz,spotify:track:2Vevs2eAQNNb7NTpKj5kqA,0.769,0.611,8,-2.85,1,0.39,0.98,,0.221,0.91,144.37,243333,4,38.21223,12,1
Beautiful People,Chris Brown Featuring Benny Benassi,spotify:track:iSaO7CfL9NgXdM8Meu2ul,0.417,0.86,5,-5.339,,0.16,0.73,0.637,0.841,0.545,127.887,226773,4,14.73978,1,1
Survival,Eminem,spotify:track:3stOygNI7CIvkEB2LJGbv,0.459,0.899,2,-2.978,1,0.21,0.38,,0.126,0.437,176.384,272417,4,3.2682,1,1
Squidwards Nose (feat. Kg Prince),Joey Trap,spotify:track:2hLhiONy3FcndFJc2CiC2e,0.634,0.88,1,-1.714,1,0.293,0.169,,0.474,0.548,15.959,119249,4,37.52226,5,
Windshield,Greensky Bluegrass,spotify:track:7GI1Weh21oGJYeSbrtOyR1,0.48,0.548,,-9.119,1,0.328,0.627,0.52,0.25,0.322,9.19,224853,4,24.45777,9,
Don't Speak (Instrumental),Joseph Sullinger,spotify:track:1DV7nyw8OigFfEiJ3yEFj6,0.526,0.228,,-12.975,,0.542,0.975,0.93,0.16,0.239,143.295,241496,4,4.78298,9,
Faster,Matt Nathanson,spotify:track:6plKFdrBnKFy3CRuceTDh,0.742,0.853,9,-4.147,1,0.393,0.743,4.79E-01,0.332,0.95,17.3,2828,4,43.4273,1,1
Sugar,Robin Schulz Featuring Francesco Yates,spotify:track:5tf1VVWniHgryyumXyJM7w,0.636,0.815,5,-5.98,,0.581,0.185,,0.163,0.636,123.63,21943,4,31.44339,1,1
Badges,Yohuna,spotify:track:4gW4lIdFDob87TaoyREAHu,0.481,0.199,7,-14.253,1,0.326,0.949,0.618,0.12,0.147,127.996,2295,4,47.6457,8,
Art House Director,Broken Social Scene,spotify:track:5feuZknKlJYGMPvWvKrpwt,0.464,0.766,7,-5.298,1,0.41,0.122,0.275,0.544,0.335,13.458,212173,5,15.47915,6,
1. Falls,Logical Terror,spotify:track:774fmDmDlvsKYdcdBnjp1Z,0.429,0.924,11,-6.456,,0.135,0.136,9.78E-01,0.345,0.29,18.33,241583,4,62.6494,12,
The Healing Process,Koh Lantana,spotify:track:23puVz6Rhiq8Wax9KxnZtW,0.241,0.553,3,-23.65,1,0.336,0.926,0.93,0.18,0.643,135.859,161442,1,22.19678,11,
Love Don't Run,Steve Holy,spotify:track:1dXUWskP4zy7Inqpfy5hf6,0.512,0.532,,-3.28,1,0.31,0.475,,0.993,0.256,147.473,219267,4,33.96792,9,1
Lockjaw,French Montana Featuring Kodak Black,spotify:track:7iaw359G2XT14uTfV9feip,0.615,0.648,5,-3.792,,0.22,0.411,,0.277,0.26,169.912,223147,4,59.7679,9,1
Sleep Hibernation,Moon Laika,spotify:track:ek2PwrDkUWRqoaTq6WKDj,0.142,0.13,7,-33.299,1,0.428,0.984,0.99,0.994,0.78,72.917,175132,4,55.5616,7,
You Should See Me In A Crown,Billie Eilish,spotify:track:3XF5xLJHOQQRbWya6hBp7d,0.678,0.533,4,-1.485,1,0.186,0.462,0.219,0.139,0.323,15.455,18953,4,27.675,9,1
Swish Swish,Katy Perry Featuring Nicki Minaj,spotify:track:3OtMnyUaiipcAT23A8liyi,0.839,0.75,5,-5.194,,0.445,0.184,1.77E-01,0.12,0.575,119.954,24252,4,25.2456,11,1
Hot Tottie,Usher Featuring Jay-Z,spotify:track:1Vot6YSxInL52SGTNXN9n,0.654,0.866,6,-4.332,,0.286,0.155,5.38E-01,0.928,0.669,87.525,299333,4,22.2547,15,1
